Description,Level 1 Description,Asset Class 2 Description,Asset Class 3 Description,MaintPlant,Equipment,Description.1,New Funct. Location,New Super Funct. Loc,ManufSerialNo.,Manufacturer,Model number,ManufPartNo.,Sort Field,Main WorkCtr,Work center,Planner Group,HSECES Category,ABC Indic.,Plant Section,Object Type,EquipCategory,Superord.Equip.,Catalog Profile,TechIdentNo.,Size/dimens.,ManufCountry
FRM 8AW0044061422YN TO 8AW0016061422YN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011000246,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011007886.0,PM_PIPE,AW-CS-PC-080,,
F&G BEACON AND SOUNDER HB08,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000248,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011007950.0,PM_FDET,FG-HB08-BEACON,,
FRM DIESEL FILTER S-6301 TO EDG DAY TANK,O&GP - Pipeline,Terminal Plant,Floating Storage Tanks,2402,11011000252,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008074.0,PM_PIPE,DF-CS-PC-100,,
F&G BEACON AND SOUNDER ITR-8,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000254,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008140.0,PM_FDET,FG-ITR-8-BEACON,,
FRM 12-PO-0191-091441-Y-N TO 00-SC-003,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011000255,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011009591.0,PM_PIPE,PO-NI-PC-029,,
F&G SYS CGF CAP BLDG BEACON AND SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000262,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011004198.0,PM_FDET,1-01-00-5803-01-BEACON,,
PIG LAUNCHER 4IN BALL VALVE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011000294,Oil Export,1-01-00-LP-1301,A-AP-6000-OF13-01,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011002357.0,PM_VLV,1-01-00-LP-1301-MIV-02,,IN
PIG LAUNCHER MOV-1 HAND SW,TS&T - Terminals,Terminal Equipment,System in General for Terminal Equipment,2402,11011000298,Oil Export,1-01-00-MVHS-1301-01,1-01-00-MOV-1301-01,,,,,,C-ELE-01,,100,NHSECES,D,ELE,EL,M,11011004773.0,PM_MEL,1-01-00-MVHS-1301-01,,
PIG LAUNCHER SHUT DOWN VALVE-2 SOV,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000316,Oil Export,1-01-00-SSOV-1301-02,1-01-00-SDV-1301-02,,MAXSEAL,Y013AA1V1BS,4506150907,,C-MEC-01,,100,SD01,A,PIG,VA,M,11011008487.0,PM_MIC,1-01-00-SSOV-1301-02,,
LCR CCTV CABINET,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000322,Telecommunications,1-01-00-TLC-8300-01,60-00-TF83-LCR-CCTV,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,D,BUD,TE,M,11011004692.0,PM_TCOM,1-01-00-TLC-8300-01,D1000XW800XH2000,DE
MPP-1 MANUAL VALVE,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011000325,Oil Export,A-AP-0101-S004,A-AP-0101,,,,,,C-MEC-01,,100,NHSECES,C,MPP,OH,M,11011005373.0,PM_MMC,1-01-00-U-0901-MV,,
CGF CTRL BLDG AUXILIARY ROOM SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000346,Fire and gas detection,1-01-00-XFAS-5802-02,60-00-FF58-LCR-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008225.0,PM_FDET,1-01-00-XFAS-5802-02,L122XW262XH154 MM,GB
N2 RECEIVER DISTRIBUTION HDR ON/OFF VLV,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000348,Nitorgen,1-01-00-XV-6901-04,60-00-UF69-01-VECM,,VIRGO,NLR-RF1-F-1PN-P-L-A-,4506150907,,C-MEC-01,,100,NHSECES,C,N2G,VA,M,11011001357.0,PM_MIC,1-01-00-XV-6901-04,2IN,IN
CGF CTRL BLDG W/S CEILING HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000351,Fire and gas detection,1-01-00-XHD-5802-04,60-00-FF58-LCR-FACP,,APOLLO,58000-400-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004196.0,PM_FDET,1-01-00-XHD-5802-04,,
CGF CTRL BLDG STORE SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000355,Fire and gas detection,1-01-00-XSD-5802-06,60-00-FF58-LCR-FACP,,APOLLO,58000-600-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011002097.0,PM_FDET,1-01-00-XSD-5802-06,D100XH42 MM,
PIG RCVR 14IN BV FRM RP-1301 TO U-1602,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011000371,Oil Export,1-01-37-RP-1301,A-AP-6037-OF13-01,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011002971.0,PM_VLV,1-01-37-RP-1301-MIV-16,,IN
ETR-1 LV CONTAINER FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000396,Fire and gas detection,1-01-42-XFAS-ETR01-03,60-81-FF58-ETR1-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008090.0,PM_FDET,1-01-42-XFAS-ETR01-03,,GB
TELECOM CABINET-2 AT ETR-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000398,Main Power,1-01-42-TLC-8281-02,60-81-TF82-ETR1-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,C,ELE,TE,M,11011001525.0,PM_TCOM,1-01-42-TLC-8281-02,L800XD800XH2000 MM,DE
ETR-5 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000400,Fire and gas detection,1-01-42-XGD-ETR05-01,60-84-FF58-ETR5-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011000015.0,PM_GDET,1-01-42-XGD-ETR05-01,D96XW155XH280 MM,
ETR-2 BATTERY ROOM H2 GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000401,Fire and gas detection,1-01-42-XHGD-ETR02-01,60-82-FF58-ETR2-FACP,,DETCON/3M,FP-700-9H7-521520-10,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008094.0,PM_FDET,1-01-42-XHGD-ETR02-01,D96XW155XH280 MM,
ETR-5 BATTERY ROOM GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000410,Fire and gas detection,1-01-42-XGAB-ETR05-04,60-84-FF58-ETR5-FACP,,MEDC,XB15B0241506AWDTDRZZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011003966.0,PM_EVEQ,1-01-42-XGAB-ETR05-04,,GB
ETR-7 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000414,Fire and gas detection,1-01-42-XTGD-ETR07-02,60-86-FF58-ETR7-FACP,,DETCON/3M,IR-700-CH (9H7-21152,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011007940.0,PM_GDET,1-01-42-XTGD-ETR07-02,D96XW155XH280 MM,
WELL HB31 TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000424,Fire and gas detection,1-01-81-XFD-H31P-02,60-71-HB-031P-WFG,1930677,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011008107.0,PM_FDET,1-01-81-XFD-H31P-02,D138XH109XB89 MM,
ITR-1 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000425,Fire and gas detection,1-01-81-XTGD-ITR01-02,60-81-FF58-ITR1-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011002031.0,PM_GDET,1-01-81-XTGD-ITR01-02,D96XW155XH280 MM,
WELL HB37 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000438,Fire and gas detection,1-01-82-XFAB-H37H-01,60-71-HB-037H-WFG,214287525-31-17,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000507.0,PM_EVEQ,1-01-82-XFAB-H37H-01,L150XW170XH239 MM,GB
WELL HB33 TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000439,Fire and gas detection,1-01-82-XFD-H33P-01,60-71-HB-033P-WFG,1930688,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011008111.0,PM_FDET,1-01-82-XFD-H33P-01,D138XH109XB89 MM,
WELL HB34 IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000451,Fire and gas detection,1-01-82-XGD-H34P-01,60-71-HB-034P-WFG,A19-U401356920-11-055,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011009573.0,PM_GDET,1-01-82-XGD-H34P-01,L325XM99XH145 MM,US
WELL HB19 RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000453,Fire and gas detection,1-01-83-XFAB-H19H-01,60-71-HB-019H-WFG,1-01-83-XFAB-H19H-01,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011001991.0,PM_EVEQ,1-01-83-XFAB-H19H-01,L150XW170XH239 MM,GB
ITR-4 FLAMMABLE GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000454,Fire and gas detection,1-01-83-XGD-ITR04-01,60-83-FF58-ITR4-FACP,,DETCON/3M,TP-700 (9H7-011520-0,HMDI/75000-48564/VBD,,C-INS-01,,100,DS01,A,FGS,FG,M,11011009579.0,PM_GDET,1-01-83-XGD-ITR04-01,D96XW155XH280 MM,
WELL HB22 AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000489,Fire and gas detection,1-01-85-XGAB-H22P-01,60-71-HB-022P-WFG,214287525 41 18,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007967.0,PM_EVEQ,1-01-85-XGAB-H22P-01,L150XW170XH239 MM,GB
F&G BEACON AND SOUNDER ETR-8,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000496,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011007942.0,PM_FDET,FG-ETR-8-BEACON,,
F&G BEACON AND SOUNDER HB28,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000498,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011007974.0,PM_FDET,FG-HB28-BEACON,,
ITR-14 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000500,Fire and gas detection,1-01-87-XGAB-ITR14-01,60-87-FF58-ITR14-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004063.0,PM_EVEQ,1-01-87-XGAB-ITR14-01,,GB
FRM 3PO0216096620XN TO 2D0153096620XN,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011000504,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011001008.0,PM_PIPE,D-NI-PC-060,,
F&G HEAT DETECTOR ETR-4,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000506,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011002025.0,PM_FDET,FG-ETR-4-HD,,
F&G BEACON AND SOUNDER HB37,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000507,Fire and gas detection,A-AP-0101-S070,A-AP-0101,,,,,,C-INS-01,,100,NHSECES,C,FGS,OH,M,11011008116.0,PM_FDET,FG-HB37-BEACON,,
FRM 2-NN-0007-011412-Y-N TO CD DRUM,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011000509,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004074.0,PM_PIPE,NN-CS-PC-108,,
FRM MPP U-0901/2 TO PIG LAUNCHER LP-1301,O&GP - Pipeline,Crude Oil Pipeline,System in General for Crude Oil Pipeline,2402,11011000510,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011004079.0,PM_PIPE,PO-CS-PC-028,,
FRM PRTBL WTR TANK T-2301 TO VENT TO ATM,O&GP - Pipeline,Terminal Plant,Floating Storage Tanks,2402,11011000511,Piping,A-AP-0101-S103,A-AP-0101,,,,,,C-COI-01,,100,NHSECES,C,PNG,PI,M,11011008180.0,PM_PIPE,V-SSA-PC-127,,
CDB PUMP DISCH LINE SDV E/P POSITIONER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000561,Closed Drains,1-01-00-HY-6700-01,1-01-00-SDV-6700-01,,FISHER,DVC-6200-SIS,4506150907,,C-MEC-01,,100,NHSECES,A,CDS,LO,M,11011002479.0,PM_MIC,1-01-00-HY-6700-01,,
PIG LAUNCHER SHUT DOWN VALVE-2 HAND SW,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000576,Oil Export,1-01-00-HS-1301-02,1-01-00-SDV-1301-02,,,,,,C-MEC-01,,100,SD01,A,PIG,LO,M,11011008487.0,PM_MIC,1-01-00-HS-1301-02,,
PIG LAUNCHER 12IN FROM MPP LINE BV,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011000589,Oil Export,1-01-00-LP-1301,A-AP-6000-OF13-01,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011002357.0,PM_VLV,1-01-00-LP-1301-MIV-12,,IN
EDG SYSTEM FIRE & GAS SOUNDER-1,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000621,Emergency Power,1-01-00-SN-GD-4201-01,1-01-GD-4201,,E2S,STEXS1-F,HMDI/75000-48570/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004446.0,PM_FDET,1-01-00-SN-GD-4201-01,,GB
MPP-2 PROCESS AIR CLR DISCH LINE TCV,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011000642,Oil Export,,,,,,,,C-COI-01,,100,NHSECES,D,MPP,VA,M,11011002079.0,PM_VLV,1-01-00-TCV-0902-08B,,
MPP-2 8IN BALL VALVE TO PIG LAUNCHER,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011000651,Oil Export,A-AP-0101-S004,A-AP-0101,,,,,,C-MEC-01,,100,NHSECES,C,MPP,VA,M,11011008574.0,PM_VLV,1-01-00-U-0902-MIV-006,,
CGF KOD AREA TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000673,Fire and gas detection,1-01-00-XFD-5400-26,60-00-FF54-PLNT3-FGS,1928578,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011008223.0,PM_FDET,1-01-00-XFD-5400-26,D138XH109XB89 MM,
CGF MPP AREA TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000674,Fire and gas detection,1-01-00-XFD-5400-42,60-00-FF54-PLNT3-FGS,1928595,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011008223.0,PM_FDET,1-01-00-XFD-5400-42,D138XH109XB89 MM,
CGF CAPACITOR BLDG RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000692,Fire and gas detection,1-01-00-XFAB-5803-02,60-00-FF58-CAP-FACP,,MEDC,XB15UW0240506RWDTDPR,HMDI/75000-54001/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000262.0,PM_EVEQ,1-01-00-XFAB-5803-02,L150XW150XH239 MM,GB
CGF GUARD HSG GUARD RM SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000693,Fire and gas detection,1-01-00-XSD-5804-02,60-00-FF58-LCR-FACP,,APOLLO,58000-600-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011002097.0,PM_FDET,1-01-00-XSD-5804-02,D100XH42 MM,
CGF IAP AREA IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000700,Fire and gas detection,1-01-00-XGD-5400-29,60-00-FF54-UTLTY-FGS,A19-U401356920-11-29,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011000065.0,PM_GDET,1-01-00-XGD-5400-29,L325XM99XH145 MM,US
CGF LOS GAS DETECTOR TRANSMITTER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000701,Fire and gas detection,1-01-00-XGDT-5400-01,60-00-FF54-PLNT2-FGS,1938048,GENERAL MONITORS,IR5500-1-1-1-1-2-2-1,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011000065.0,PM_GDET,1-01-00-XGDT-5400-01,L315XD113 MM,
CGF SUB-STN BATTERY RM H2 GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000703,Fire and gas detection,1-01-00-XHGD-5801-02,60-00-FF58-33KV-FACP,,DETCON/3M,FP-700-9H7-521520-10,HMDI/75000-54001/VBD,,C-INS-01,,100,DS06,A,FGS,FG,M,11011004193.0,PM_FDET,1-01-00-XHGD-5801-02,D96XW155XH280 MM,
CGF SUB-STATION SCMS RM SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000710,Fire and gas detection,1-01-00-XSD-5801-24,60-00-FF58-33KV-FACP,,APOLLO,58000-600-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008224.0,PM_FDET,1-01-00-XSD-5801-24,D100XH42 MM,
CGF CAPACITOR BLDG SMOKE DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000714,Fire and gas detection,1-01-00-XSD-5803-09,60-00-FF58-CAP-FACP,,APOLLO,58000-600-SIL,HMDI/75000-54001/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011008226.0,PM_FDET,1-01-00-XSD-5803-09,D100XH42 MM,
PIG RCVR 4IN BV RODDING CONNECTION TO CD,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011000735,Oil Export HIPPS-MVL,A-AP-0101-S004-HIPPS-MVL,A-AP-0101-S004-HIPPS,,HAWA VALVES,,,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011008805.0,PM_VLV,1-01-37-HIPPS-1301-MIV-03,,IN
PIG RCVR 6IN GLV RP1301 NOZ1 TO MPFM HDR,TS&T - Terminals,Terminal Equipment,Terminal Equipment Valves,2402,11011000742,Oil Export,1-01-37-RP-1301,A-AP-6037-OF13-01,,L&T VALVES,,,,C-MEC-01,,100,NHSECES,C,PIG,VA,M,11011002971.0,PM_VLV,1-01-37-RP-1301-MIV-07,,IN
ETR-2 LV CONTAINER FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000791,Fire and gas detection,1-01-42-XFAB-ETR02-03,60-82-FF58-ETR2-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008093.0,PM_EVEQ,1-01-42-XFAB-ETR02-03,,GB
ETR-8 FIRE BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000792,Fire and gas detection,1-01-42-XFAB-ETR08-02,60-87-FF58-ETR8-FACP,,MEDC,XB15UW0241506RWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000496.0,PM_EVEQ,1-01-42-XFAB-ETR08-02,,GB
ETR-4 MV CONTAINER FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000793,Fire and gas detection,1-01-42-XFAS-ETR04-01,60-83-FF58-ETR4-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008099.0,PM_FDET,1-01-42-XFAS-ETR04-01,,GB
ETR-8 BATTERY ROOM FIRE & GAS SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000794,Fire and gas detection,1-01-42-XFAS-ETR08-04,60-87-FF58-ETR8-FACP,,E2S,BEXS110DFDC024AS2J1R,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011000496.0,PM_FDET,1-01-42-XFAS-ETR08-04,,GB
ETR-5 TELECOM CABINET-B,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000797,Telecommunications,1-01-42-TLC-8284-02,60-84-TF82-ETR5-TEL,,RITTAL,TS IT SERIES,HMDI/75000-49276/NG,,C-TEL-01,,100,NHSECES,D,ETR,TE,M,11011006003.0,PM_TCOM,1-01-42-TLC-8284-02,D800XW800XH2000 MM,DE
ETR-9 MV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000800,Fire and gas detection,1-01-42-XGAB-ETR09-01,60-82-FF58-ETR9-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007945.0,PM_EVEQ,1-01-42-XGAB-ETR09-01,,GB
ETR-1 LV CONTAINER HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000801,Fire and gas detection,1-01-42-XHD-ETR01-01,60-81-FF58-ETR1-FACP,,APOLLO,58000-400-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011004046.0,PM_FDET,1-01-42-XHD-ETR01-01,D100XH50 MM,
ETR-7 BATTERY ROOM HEAT DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000802,Fire and gas detection,1-01-42-XHD-ETR07-02,60-86-FF58-ETR7-FACP,,APOLLO,55000-440-SIL,HMDI/75000-48564/VBD,,C-INS-01,,100,NHSECES,A,FGS,FG,M,11011001985.0,PM_FDET,1-01-42-XHD-ETR07-02,D100XH50 MM,
ETR-3 LV CONTAINER GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000820,Fire and gas detection,1-01-42-XGAB-ETR03-03,60-82-FF58-ETR3-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008096.0,PM_EVEQ,1-01-42-XGAB-ETR03-03,,GB
ETR-3 TOXIC GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000828,Fire and gas detection,1-01-42-XTGD-ETR03-01,60-82-FF58-ETR3-FACP,,DETCON/3M,IR-700-CH (9H7-21152,HMDI/75000-48564/VBD,,C-INS-01,,100,DS03,A,FGS,FG,M,11011009567.0,PM_GDET,1-01-42-XTGD-ETR03-01,D96XW155XH280 MM,
WELL HB20 SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000848,Fire and gas detection,1-01-81-XFAS-H20H-01,60-71-HB-020H-WFG,214287525-63-06,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011007966.0,PM_FDET,1-01-81-XFAS-H20H-01,L185XW280XH200 MM,GB
ITR-1 GAS BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000849,Fire and gas detection,1-01-81-XGAB-ITR01-01,60-81-FF58-ITR1-FACP,,MEDC,XB15UW0241506AWDTDRZ,HMDI/75000-48564/VBD,,C-INS-01,,100,ER09,A,FGS,FG,M,11011004061.0,PM_EVEQ,1-01-81-XGAB-ITR01-01,,GB
TRANSFORMER AREA RED BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000877,Fire and gas detection,1-01-82-XFAB-WG2C-01,60-71-HB-034P-WFG,1-01-82-XFAB- WG2C-01,MEDC,XB15B0241506RWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008019.0,PM_EVEQ,1-01-82-XFAB-WG2C-01,L150XW170XH239 MM,GB
TRANSFORMER AREA SOUNDER,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000878,Fire and gas detection,1-01-82-XFAS-WG2C-01,60-71-HB-034P-WFG,214287525-63-24,MEDC,DB3B-D-GD-048-T-2B-E,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008019.0,PM_EVEQ,1-01-82-XFAS-WG2C-01,L185XW280XH200 MM,GB
WELL HB36 TRIPLE IR FLAME DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000879,Fire and gas detection,1-01-82-XFD-H36P-02,60-71-HB-036P-WFG,1930705,GENERAL MONITORS,FL4000H-5-0-1-3-2-1-,HMDI/75000-47197/NG,,C-INS-01,,100,DS02,A,FGS,FG,M,11011004058.0,PM_FDET,1-01-82-XFD-H36P-02,D138XH109XB89 MM,
WELL HB32 AMBER BEACON,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000901,Fire and gas detection,1-01-82-XGAB-H32P-01,60-71-HB-032P-WFG,214287525-41-05,MEDC,XB15B0241506AWDTRZZ,HMDI/75000-47197/NG,,C-INS-01,,100,ER09,A,FGS,FG,M,11011008108.0,PM_EVEQ,1-01-82-XGAB-H32P-01,L150XW170XH239 MM,GB
WELL HB30 IR POINT GAS DETECTOR,O&GP - Plants,Control Systems,System in General for Control System,2402,11011000902,Fire and gas detection,1-01-82-XGD-H30P-01,60-71-HB-030P-WFG,A19-U401356920-11-49,MSA,A-ULTIMAX-XP-E-58-A-,HMDI/75000-47197/NG,,C-INS-01,,100,DS01,A,FGS,FG,M,11011001013.0,PM_GDET,1-01-82-XGD-H30P-01,L325XM99XH145 MM,US
